index,Year,Month,Month_cumulated,id_product,Region,Country,Site,Operations,Zone,Cluster,Reference proxy,Product  Line proxy,Division proxy,Customer Persona proxy,Strategic Product Family proxy,Product Life cycel status,Sales,Unnamed: 0,ID,population (2023),area,landAreaKm,unMember,netChange,growthRate,worldPercentage,density,densityMi,rank,LPI Grouped Rank,Customs Score,Customs Grouped Rank,Infrastructure Score,Infrastructure Grouped Rank,International Shipments Score,International Shipments Grouped Rank,Logistics Competence and Quality Score,Logistics Competence and Quality Grouped Rank,Timeliness Score,Timeliness Grouped Rank,Tracking and Tracing Score,Tracking and Tracing Grouped Rank,"Agriculture, forestry, and fishing, value added (annual % growth)",Exports of goods and services (annual % growth),Final consumption expenditure (annual % growth),GDP (current US$),Gross capital formation (annual % growth),Imports of goods and services (annual % growth),"Industry (including construction), value added (annual % growth)","Manufacturing, value added (annual % growth)","Services, value added (annual % growth)",Energy Price Index,Headline Consumer Price Index,GSCPI,Sales.1
384038,2021,3,7,139181,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,6321,4,3,15,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,106.492,107.642,2.1990721766472414,0
384038,2021,4,8,139181,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,6321,4,3,15,12,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,106.54,107.959,2.6829212436813266,0
392116,2021,1,5,147259,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,11181,4,3,4,9,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,102.54,106.483,1.3298916666437832,0
392116,2021,2,6,147259,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,11181,4,3,4,9,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,104.065,107.115,1.908749340296089,0
392116,2021,3,7,147259,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,11181,4,3,4,9,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,106.492,107.642,2.1990721766472414,0
392116,2021,4,8,147259,EUROPE,Germany,NL_DC_Venray,Europe Operations,DACH,Germany,11181,4,3,4,9,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,106.54,107.959,2.6829212436813266,0
159613,2020,9,1,159613,EUROPE,Germany,NL_DC_HLD,Europe Operations,DACH,Germany,10010,3,2,33,7,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,8.02,-9.27,-2.95,3889668895299.56,-3.28,-8.5,-5.9,-8.07,-3.1,96.8915,105.112,0.6156903180022034,0
159613,2020,10,2,159613,EUROPE,Germany,NL_DC_HLD,Europe Operations,DACH,Germany,10010,3,2,33,7,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,8.02,-9.27,-2.95,3889668895299.56,-3.28,-8.5,-5.9,-8.07,-3.1,97.066,105.323,0.1215142347882308,0
159613,2020,11,3,159613,EUROPE,Germany,NL_DC_HLD,Europe Operations,DACH,Germany,10010,3,2,33,7,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,8.02,-9.27,-2.95,3889668895299.56,-3.28,-8.5,-5.9,-8.07,-3.1,95.8149,105.112,0.7402850309662862,0
159613,2020,12,4,159613,EUROPE,Germany,NL_DC_HLD,Europe Operations,DACH,Germany,10010,3,2,33,7,,0,3,3,83294633.0,357114.0,349390.0,True,-0.0012,-0.0009,0.0104,238.4002,617.4564,19.0,3.0,3.9,7.0,4.3,3.0,3.7,8.0,4.2,3.0,4.1,10.0,4.2,3.0,8.02,-9.27,-2.95,3889668895299.56,-3.28,-8.5,-5.9,-8.07,-3.1,97.0499,105.217,1.6612596699511293,0
