id_product,Region,Country,Zone,Reference proxy,Product  Line proxy,Customer Persona proxy,Strategic Product Family proxy,Product Life cycel status,Month 1,Month 2,Month 3,Month 4,Quarter,Year,Quarter_cumuled,Site_country,Site_type,Energy_Price_Index_1,Energy_Price_Index_2,Energy_Price_Index_3,Energy_Price_Index_4,Headline_Consumer_Index_1,Headline_Consumer_Index_2,Headline_Consumer_Index_3,Headline_Consumer_Index_4,GSCPI_1,GSCPI_2,GSCPI_3,GSCPI_4,"Agriculture, forestry, and fishing, value added (annual % growth)",Exports of goods and services (annual % growth),Final consumption expenditure (annual % growth),GDP (current US$),Gross capital formation (annual % growth),Imports of goods and services (annual % growth),"Industry (including construction), value added (annual % growth)","Manufacturing, value added (annual % growth)","Services, value added (annual % growth)",unMember,netChange,rank,Customs Grouped Rank,Infrastructure Grouped Rank,International Shipments Grouped Rank,Tracking and Tracing Grouped Rank
68682,3,29,11,7533,4,4,9,2.0,0,0,0,0,3,2022,7,26,0,146.55,148.037,144.387,135.507,125.2,125.7,125.6,125.222,0.9059242117686948,1.044450752030586,1.2084538962630231,1.2876567694826062,1.6709502224251498,3.297329449062545,3.0929890277028633,25462700000000.0,4.940120198232063,5.515116514709105,2.3817318936925145,2.7775639756821717,3.5239267564512953,1,0.0581,3.0,14.0,16.0,26.0,3.0
28171,1,0,9,1964,1,9,4,2.0,0,0,0,0,1,2021,2,1,0,127.19090535436982,129.8974720516671,131.56015147953423,128.98122823597274,116.44403448648427,117.12726643437045,117.59733160946682,116.84248529155678,1.6434042079047606,1.477550030467132,1.5350606045261455,1.8562932813364403,22.98,-8.37,2.7,1552703151616.01,4.940120198232063,-3.35,-0.55,2.24,2.38,1,0.0083,55.0,14.0,9.0,47.0,11.0
139181,2,8,3,6321,4,15,12,2.0,0,0,0,0,1,2021,2,18,0,102.54,104.065,106.492,106.54,106.483,107.115,107.642,107.959,1.3298916666437832,1.9087493402960891,2.1990721766472414,2.6829212436813266,1.61,9.71,1.44,4259934911821.64,3.5,9.0,3.61,5.07,2.27,1,-0.0012,19.0,7.0,3.0,8.0,3.0
53322,3,29,11,5054,4,43,9,0.0,0,0,0,0,1,2023,8,26,0,139.644,138.827,137.551,128.98122823597274,126.223,126.928,127.348,116.84248529155678,1.0239942264370163,-0.2641116466596504,-1.1539519537343268,-1.327039794264261,1.6709502224251498,3.297329449062545,3.0929890277028633,7455478283421.695,4.940120198232063,5.515116514709105,2.3817318936925145,2.7775639756821717,3.5239267564512953,1,0.0581,3.0,14.0,16.0,26.0,3.0
115157,2,5,8,6705,4,57,9,2.0,0,140,0,0,1,2023,8,22,0,153.005,146.96,143.58,128.98122823597274,116.4,117.5,117.3,116.84248529155678,1.0239942264370163,-0.2641116466596504,-1.1539519537343268,-1.327039794264261,1.6709502224251498,3.297329449062545,3.0929890277028633,7455478283421.695,4.940120198232063,5.515116514709105,2.3817318936925145,2.7775639756821717,3.5239267564512953,1,0.0009,115.0,2.0,9.0,14.0,2.0
112779,2,5,8,6480,4,4,12,2.0,1,9,3,0,2,2022,6,22,0,145.543,150.055,151.817,150.891,112.7,113.6,114.9,114.9,2.637340125255853,2.3410983512150456,1.7713780747165997,1.459909674160913,-5.7,8.61,-2.69,395403906582.0,12.1,4.23,13.85,18.57,1.94,1,0.0009,115.0,2.0,9.0,14.0,2.0
19781,1,0,9,1167,1,3,1,2.0,1,0,0,0,2,2021,3,1,0,127.19090535436982,129.8974720516671,131.56015147953423,128.98122823597274,116.44403448648427,117.12726643437045,117.59733160946682,116.84248529155678,1.6434042079047606,1.477550030467132,1.5350606045261455,1.8562932813364403,22.98,-8.37,2.7,1552703151616.01,4.940120198232063,-3.35,-0.55,2.24,2.38,1,0.0083,55.0,14.0,9.0,47.0,11.0
104657,2,28,10,3674,3,14,7,2.0,0,0,0,0,3,2020,1,18,0,105.5,101.9,101.6,102.5,109.2,109.2,109.1,109.4,0.6156903180022034,0.1215142347882308,0.7402850309662862,1.6612596699511293,-3.49,-12.08,-11.84,2704609160088.15,-14.59,-16.05,-3.14,0.11,-12.45,1,0.0072,21.0,22.0,25.0,22.0,16.0
191320,2,1,0,3495,3,18,7,0.0,0,0,0,0,1,2021,2,18,0,107.336,109.363,112.227,112.397,109.0,109.2,109.5,109.9,1.3298916666437832,1.9087493402960891,2.1990721766472414,2.6829212436813266,-3.79,11.26,5.36,594351961634.49,6.42,10.67,1.29,0.03,7.27,1,0.0009,82.0,7.0,9.0,4.0,16.0
57217,3,29,11,5576,4,18,9,2.0,0,0,0,0,3,2022,7,26,0,146.55,148.037,144.387,135.507,125.2,125.7,125.6,125.222,0.9059242117686948,1.044450752030586,1.2084538962630231,1.2876567694826062,1.6709502224251498,3.297329449062545,3.0929890277028633,25462700000000.0,4.940120198232063,5.515116514709105,2.3817318936925145,2.7775639756821717,3.5239267564512953,1,0.0581,3.0,14.0,16.0,26.0,3.0
